"tollgate_id","time_window","direction","volume_vehicle_model1","start_month","start_day","start_hour","start_minute"
"1","[2016-09-19 04:40:00,2016-09-19 05:00:00)","1","17","9","19","4","40"
"3","[2016-09-19 04:40:00,2016-09-19 05:00:00)","0","9","9","19","4","40"
"3","[2016-09-19 05:00:00,2016-09-19 05:20:00)","0","4","9","19","5","0"
"3","[2016-09-19 05:00:00,2016-09-19 05:20:00)","1","4","9","19","5","0"
"2","[2016-09-19 05:00:00,2016-09-19 05:20:00)","0","9","9","19","5","0"
"1","[2016-09-19 05:00:00,2016-09-19 05:20:00)","1","24","9","19","5","0"
"2","[2016-09-19 05:20:00,2016-09-19 05:40:00)","0","8","9","19","5","20"
"1","[2016-09-19 05:20:00,2016-09-19 05:40:00)","0","6","9","19","5","20"
"1","[2016-09-19 05:20:00,2016-09-19 05:40:00)","1","18","9","19","5","20"
"3","[2016-09-19 05:20:00,2016-09-19 05:40:00)","0","7","9","19","5","20"
"3","[2016-09-19 05:20:00,2016-09-19 05:40:00)","1","5","9","19","5","20"
"3","[2016-09-19 05:40:00,2016-09-19 06:00:00)","0","18","9","19","5","40"
"3","[2016-09-19 05:40:00,2016-09-19 06:00:00)","1","10","9","19","5","40"
"2","[2016-09-19 05:40:00,2016-09-19 06:00:00)","0","14","9","19","5","40"
"1","[2016-09-19 05:40:00,2016-09-19 06:00:00)","0","12","9","19","5","40"
"1","[2016-09-19 05:40:00,2016-09-19 06:00:00)","1","24","9","19","5","40"
"3","[2016-09-19 06:00:00,2016-09-19 06:20:00)","0","26","9","19","6","0"
"3","[2016-09-19 06:00:00,2016-09-19 06:20:00)","1","18","9","19","6","0"
"2","[2016-09-19 06:00:00,2016-09-19 06:20:00)","0","22","9","19","6","0"
"1","[2016-09-19 06:00:00,2016-09-19 06:20:00)","0","7","9","19","6","0"
"1","[2016-09-19 06:00:00,2016-09-19 06:20:00)","1","27","9","19","6","0"
"3","[2016-09-19 06:20:00,2016-09-19 06:40:00)","0","40","9","19","6","20"
"3","[2016-09-19 06:20:00,2016-09-19 06:40:00)","1","25","9","19","6","20"
"2","[2016-09-19 06:20:00,2016-09-19 06:40:00)","0","26","9","19","6","20"
"1","[2016-09-19 06:20:00,2016-09-19 06:40:00)","0","12","9","19","6","20"
"1","[2016-09-19 06:20:00,2016-09-19 06:40:00)","1","44","9","19","6","20"
"1","[2016-09-19 06:40:00,2016-09-19 07:00:00)","0","28","9","19","6","40"
"1","[2016-09-19 06:40:00,2016-09-19 07:00:00)","1","52","9","19","6","40"
"3","[2016-09-19 06:40:00,2016-09-19 07:00:00)","0","60","9","19","6","40"
"3","[2016-09-19 06:40:00,2016-09-19 07:00:00)","1","58","9","19","6","40"
"2","[2016-09-19 06:40:00,2016-09-19 07:00:00)","0","28","9","19","6","40"
"1","[2016-09-19 07:00:00,2016-09-19 07:20:00)","0","34","9","19","7","0"
"1","[2016-09-19 07:00:00,2016-09-19 07:20:00)","1","53","9","19","7","0"
"2","[2016-09-19 07:00:00,2016-09-19 07:20:00)","0","80","9","19","7","0"
"3","[2016-09-19 07:00:00,2016-09-19 07:20:00)","0","101","9","19","7","0"
"3","[2016-09-19 07:00:00,2016-09-19 07:20:00)","1","59","9","19","7","0"
"2","[2016-09-19 07:20:00,2016-09-19 07:40:00)","0","73","9","19","7","20"
"3","[2016-09-19 07:20:00,2016-09-19 07:40:00)","0","112","9","19","7","20"
"3","[2016-09-19 07:20:00,2016-09-19 07:40:00)","1","65","9","19","7","20"
"1","[2016-09-19 07:20:00,2016-09-19 07:40:00)","0","30","9","19","7","20"
"1","[2016-09-19 07:20:00,2016-09-19 07:40:00)","1","70","9","19","7","20"
"2","[2016-09-19 07:40:00,2016-09-19 08:00:00)","0","93","9","19","7","40"
"3","[2016-09-19 07:40:00,2016-09-19 08:00:00)","0","139","9","19","7","40"
"3","[2016-09-19 07:40:00,2016-09-19 08:00:00)","1","97","9","19","7","40"
"1","[2016-09-19 07:40:00,2016-09-19 08:00:00)","0","40","9","19","7","40"
"1","[2016-09-19 07:40:00,2016-09-19 08:00:00)","1","106","9","19","7","40"
"2","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0","124","9","19","8","0"
"3","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0","143","9","19","8","0"
"3","[2016-09-19 08:00:00,2016-09-19 08:20:00)","1","112","9","19","8","0"
"1","[2016-09-19 08:00:00,2016-09-19 08:20:00)","0","42","9","19","8","0"
"1","[2016-09-19 08:00:00,2016-09-19 08:20:00)","1","111","9","19","8","0"
"2","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0","111","9","19","8","20"
"1","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0","49","9","19","8","20"
"1","[2016-09-19 08:20:00,2016-09-19 08:40:00)","1","106","9","19","8","20"
"3","[2016-09-19 08:20:00,2016-09-19 08:40:00)","0","146","9","19","8","20"
"3","[2016-09-19 08:20:00,2016-09-19 08:40:00)","1","147","9","19","8","20"
"3","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0","115","9","19","8","40"
"3","[2016-09-19 08:40:00,2016-09-19 09:00:00)","1","144","9","19","8","40"
"2","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0","91","9","19","8","40"
"1","[2016-09-19 08:40:00,2016-09-19 09:00:00)","0","30","9","19","8","40"
"1","[2016-09-19 08:40:00,2016-09-19 09:00:00)","1","99","9","19","8","40"
"3","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0","143","9","19","9","0"
"3","[2016-09-19 09:00:00,2016-09-19 09:20:00)","1","130","9","19","9","0"
"2","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0","83","9","19","9","0"
"1","[2016-09-19 09:00:00,2016-09-19 09:20:00)","0","44","9","19","9","0"
"1","[2016-09-19 09:00:00,2016-09-19 09:20:00)","1","114","9","19","9","0"
"2","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0","74","9","19","9","20"
"3","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0","125","9","19","9","20"
"3","[2016-09-19 09:20:00,2016-09-19 09:40:00)","1","118","9","19","9","20"
"1","[2016-09-19 09:20:00,2016-09-19 09:40:00)","0","41","9","19","9","20"
"1","[2016-09-19 09:20:00,2016-09-19 09:40:00)","1","135","9","19","9","20"
"1","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0","42","9","19","9","40"
"1","[2016-09-19 09:40:00,2016-09-19 10:00:00)","1","112","9","19","9","40"
"2","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0","57","9","19","9","40"
"3","[2016-09-19 09:40:00,2016-09-19 10:00:00)","0","123","9","19","9","40"
"3","[2016-09-19 09:40:00,2016-09-19 10:00:00)","1","106","9","19","9","40"
"3","[2016-09-19 10:00:00,2016-09-19 10:20:00)","0","80","9","19","10","0"
"3","[2016-09-19 10:00:00,2016-09-19 10:20:00)","1","100","9","19","10","0"
"2","[2016-09-19 10:00:00,2016-09-19 10:20:00)","0","69","9","19","10","0"
"1","[2016-09-19 10:00:00,2016-09-19 10:20:00)","0","38","9","19","10","0"
"1","[2016-09-19 10:00:00,2016-09-19 10:20:00)","1","80","9","19","10","0"
"3","[2016-09-19 10:20:00,2016-09-19 10:40:00)","0","85","9","19","10","20"
"3","[2016-09-19 10:20:00,2016-09-19 10:40:00)","1","77","9","19","10","20"
"2","[2016-09-19 10:20:00,2016-09-19 10:40:00)","0","63","9","19","10","20"
"1","[2016-09-19 10:20:00,2016-09-19 10:40:00)","0","43","9","19","10","20"
"1","[2016-09-19 10:20:00,2016-09-19 10:40:00)","1","90","9","19","10","20"
"2","[2016-09-19 10:40:00,2016-09-19 11:00:00)","0","52","9","19","10","40"
"3","[2016-09-19 10:40:00,2016-09-19 11:00:00)","0","86","9","19","10","40"
"3","[2016-09-19 10:40:00,2016-09-19 11:00:00)","1","74","9","19","10","40"
"1","[2016-09-19 10:40:00,2016-09-19 11:00:00)","0","41","9","19","10","40"
"1","[2016-09-19 10:40:00,2016-09-19 11:00:00)","1","87","9","19","10","40"
"3","[2016-09-19 11:00:00,2016-09-19 11:20:00)","0","90","9","19","11","0"
"3","[2016-09-19 11:00:00,2016-09-19 11:20:00)","1","61","9","19","11","0"
"2","[2016-09-19 11:00:00,2016-09-19 11:20:00)","0","40","9","19","11","0"
"1","[2016-09-19 11:00:00,2016-09-19 11:20:00)","0","32","9","19","11","0"
"1","[2016-09-19 11:00:00,2016-09-19 11:20:00)","1","70","9","19","11","0"
"2","[2016-09-19 11:20:00,2016-09-19 11:40:00)","0","53","9","19","11","20"
"1","[2016-09-19 11:20:00,2016-09-19 11:40:00)","0","25","9","19","11","20"
"1","[2016-09-19 11:20:00,2016-09-19 11:40:00)","1","65","9","19","11","20"
"3","[2016-09-19 11:20:00,2016-09-19 11:40:00)","0","61","9","19","11","20"
"3","[2016-09-19 11:20:00,2016-09-19 11:40:00)","1","59","9","19","11","20"
"3","[2016-09-19 11:40:00,2016-09-19 12:00:00)","0","72","9","19","11","40"
"3","[2016-09-19 11:40:00,2016-09-19 12:00:00)","1","63","9","19","11","40"
"1","[2016-09-19 11:40:00,2016-09-19 12:00:00)","0","32","9","19","11","40"
"1","[2016-09-19 11:40:00,2016-09-19 12:00:00)","1","76","9","19","11","40"
"2","[2016-09-19 11:40:00,2016-09-19 12:00:00)","0","39","9","19","11","40"
"2","[2016-09-19 12:00:00,2016-09-19 12:20:00)","0","70","9","19","12","0"
"1","[2016-09-19 12:00:00,2016-09-19 12:20:00)","0","43","9","19","12","0"
"1","[2016-09-19 12:00:00,2016-09-19 12:20:00)","1","79","9","19","12","0"
"3","[2016-09-19 12:00:00,2016-09-19 12:20:00)","0","84","9","19","12","0"
"3","[2016-09-19 12:00:00,2016-09-19 12:20:00)","1","86","9","19","12","0"
"2","[2016-09-19 12:20:00,2016-09-19 12:40:00)","0","52","9","19","12","20"
"3","[2016-09-19 12:20:00,2016-09-19 12:40:00)","0","66","9","19","12","20"
"3","[2016-09-19 12:20:00,2016-09-19 12:40:00)","1","75","9","19","12","20"
"1","[2016-09-19 12:20:00,2016-09-19 12:40:00)","0","40","9","19","12","20"
"1","[2016-09-19 12:20:00,2016-09-19 12:40:00)","1","61","9","19","12","20"
"3","[2016-09-19 12:40:00,2016-09-19 13:00:00)","0","105","9","19","12","40"
"3","[2016-09-19 12:40:00,2016-09-19 13:00:00)","1","85","9","19","12","40"
"2","[2016-09-19 12:40:00,2016-09-19 13:00:00)","0","57","9","19","12","40"
"1","[2016-09-19 12:40:00,2016-09-19 13:00:00)","0","48","9","19","12","40"
"1","[2016-09-19 12:40:00,2016-09-19 13:00:00)","1","59","9","19","12","40"
"3","[2016-09-19 13:00:00,2016-09-19 13:20:00)","0","102","9","19","13","0"
"3","[2016-09-19 13:00:00,2016-09-19 13:20:00)","1","82","9","19","13","0"
"1","[2016-09-19 13:00:00,2016-09-19 13:20:00)","0","48","9","19","13","0"
"1","[2016-09-19 13:00:00,2016-09-19 13:20:00)","1","79","9","19","13","0"
"2","[2016-09-19 13:00:00,2016-09-19 13:20:00)","0","68","9","19","13","0"
"2","[2016-09-19 13:20:00,2016-09-19 13:40:00)","0","77","9","19","13","20"
"3","[2016-09-19 13:20:00,2016-09-19 13:40:00)","0","80","9","19","13","20"
"3","[2016-09-19 13:20:00,2016-09-19 13:40:00)","1","99","9","19","13","20"
"1","[2016-09-19 13:20:00,2016-09-19 13:40:00)","0","54","9","19","13","20"
"1","[2016-09-19 13:20:00,2016-09-19 13:40:00)","1","85","9","19","13","20"
"1","[2016-09-19 13:40:00,2016-09-19 14:00:00)","0","51","9","19","13","40"
"1","[2016-09-19 13:40:00,2016-09-19 14:00:00)","1","88","9","19","13","40"
"3","[2016-09-19 13:40:00,2016-09-19 14:00:00)","0","104","9","19","13","40"
"3","[2016-09-19 13:40:00,2016-09-19 14:00:00)","1","94","9","19","13","40"
"2","[2016-09-19 13:40:00,2016-09-19 14:00:00)","0","52","9","19","13","40"
"2","[2016-09-19 14:00:00,2016-09-19 14:20:00)","0","52","9","19","14","0"
"3","[2016-09-19 14:00:00,2016-09-19 14:20:00)","0","78","9","19","14","0"
"3","[2016-09-19 14:00:00,2016-09-19 14:20:00)","1","80","9","19","14","0"
"1","[2016-09-19 14:00:00,2016-09-19 14:20:00)","0","50","9","19","14","0"
"1","[2016-09-19 14:00:00,2016-09-19 14:20:00)","1","94","9","19","14","0"
"3","[2016-09-19 14:20:00,2016-09-19 14:40:00)","0","64","9","19","14","20"
"3","[2016-09-19 14:20:00,2016-09-19 14:40:00)","1","93","9","19","14","20"
"1","[2016-09-19 14:20:00,2016-09-19 14:40:00)","0","46","9","19","14","20"
"1","[2016-09-19 14:20:00,2016-09-19 14:40:00)","1","78","9","19","14","20"
"2","[2016-09-19 14:20:00,2016-09-19 14:40:00)","0","54","9","19","14","20"
"1","[2016-09-19 14:40:00,2016-09-19 15:00:00)","0","49","9","19","14","40"
"1","[2016-09-19 14:40:00,2016-09-19 15:00:00)","1","86","9","19","14","40"
"2","[2016-09-19 14:40:00,2016-09-19 15:00:00)","0","70","9","19","14","40"
"3","[2016-09-19 14:40:00,2016-09-19 15:00:00)","0","83","9","19","14","40"
"3","[2016-09-19 14:40:00,2016-09-19 15:00:00)","1","86","9","19","14","40"
"1","[2016-09-19 15:00:00,2016-09-19 15:20:00)","0","44","9","19","15","0"
"1","[2016-09-19 15:00:00,2016-09-19 15:20:00)","1","73","9","19","15","0"
"2","[2016-09-19 15:00:00,2016-09-19 15:20:00)","0","59","9","19","15","0"
"3","[2016-09-19 15:00:00,2016-09-19 15:20:00)","0","94","9","19","15","0"
"3","[2016-09-19 15:00:00,2016-09-19 15:20:00)","1","69","9","19","15","0"
"2","[2016-09-19 15:20:00,2016-09-19 15:40:00)","0","58","9","19","15","20"
"3","[2016-09-19 15:20:00,2016-09-19 15:40:00)","0","90","9","19","15","20"
"3","[2016-09-19 15:20:00,2016-09-19 15:40:00)","1","86","9","19","15","20"
"1","[2016-09-19 15:20:00,2016-09-19 15:40:00)","0","52","9","19","15","20"
"1","[2016-09-19 15:20:00,2016-09-19 15:40:00)","1","88","9","19","15","20"
"3","[2016-09-19 15:40:00,2016-09-19 16:00:00)","0","96","9","19","15","40"
"3","[2016-09-19 15:40:00,2016-09-19 16:00:00)","1","74","9","19","15","40"
"2","[2016-09-19 15:40:00,2016-09-19 16:00:00)","0","62","9","19","15","40"
"1","[2016-09-19 15:40:00,2016-09-19 16:00:00)","0","38","9","19","15","40"
"1","[2016-09-19 15:40:00,2016-09-19 16:00:00)","1","82","9","19","15","40"
"2","[2016-09-19 16:00:00,2016-09-19 16:20:00)","0","66","9","19","16","0"
"1","[2016-09-19 16:00:00,2016-09-19 16:20:00)","0","38","9","19","16","0"
"1","[2016-09-19 16:00:00,2016-09-19 16:20:00)","1","99","9","19","16","0"
"3","[2016-09-19 16:00:00,2016-09-19 16:20:00)","0","102","9","19","16","0"
"3","[2016-09-19 16:00:00,2016-09-19 16:20:00)","1","98","9","19","16","0"
"1","[2016-09-19 16:20:00,2016-09-19 16:40:00)","0","42","9","19","16","20"
"1","[2016-09-19 16:20:00,2016-09-19 16:40:00)","1","109","9","19","16","20"
"3","[2016-09-19 16:20:00,2016-09-19 16:40:00)","0","95","9","19","16","20"
"3","[2016-09-19 16:20:00,2016-09-19 16:40:00)","1","82","9","19","16","20"
"2","[2016-09-19 16:20:00,2016-09-19 16:40:00)","0","85","9","19","16","20"
"2","[2016-09-19 16:40:00,2016-09-19 17:00:00)","0","86","9","19","16","40"
"3","[2016-09-19 16:40:00,2016-09-19 17:00:00)","0","89","9","19","16","40"
"3","[2016-09-19 16:40:00,2016-09-19 17:00:00)","1","105","9","19","16","40"
"1","[2016-09-19 16:40:00,2016-09-19 17:00:00)","0","52","9","19","16","40"
"1","[2016-09-19 16:40:00,2016-09-19 17:00:00)","1","104","9","19","16","40"
"1","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0","30","9","19","17","0"
"1","[2016-09-19 17:00:00,2016-09-19 17:20:00)","1","85","9","19","17","0"
"2","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0","74","9","19","17","0"
"3","[2016-09-19 17:00:00,2016-09-19 17:20:00)","0","90","9","19","17","0"
"3","[2016-09-19 17:00:00,2016-09-19 17:20:00)","1","79","9","19","17","0"
"3","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0","98","9","19","17","20"
"3","[2016-09-19 17:20:00,2016-09-19 17:40:00)","1","79","9","19","17","20"
"1","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0","33","9","19","17","20"
"1","[2016-09-19 17:20:00,2016-09-19 17:40:00)","1","103","9","19","17","20"
"2","[2016-09-19 17:20:00,2016-09-19 17:40:00)","0","65","9","19","17","20"
"2","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0","47","9","19","17","40"
"3","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0","79","9","19","17","40"
"3","[2016-09-19 17:40:00,2016-09-19 18:00:00)","1","78","9","19","17","40"
"1","[2016-09-19 17:40:00,2016-09-19 18:00:00)","0","22","9","19","17","40"
"1","[2016-09-19 17:40:00,2016-09-19 18:00:00)","1","97","9","19","17","40"
"2","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0","49","9","19","18","0"
"3","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0","71","9","19","18","0"
"3","[2016-09-19 18:00:00,2016-09-19 18:20:00)","1","62","9","19","18","0"
"1","[2016-09-19 18:00:00,2016-09-19 18:20:00)","0","27","9","19","18","0"
"1","[2016-09-19 18:00:00,2016-09-19 18:20:00)","1","59","9","19","18","0"
"2","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0","48","9","19","18","20"
"1","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0","25","9","19","18","20"
"1","[2016-09-19 18:20:00,2016-09-19 18:40:00)","1","83","9","19","18","20"
"3","[2016-09-19 18:20:00,2016-09-19 18:40:00)","0","38","9","19","18","20"
"3","[2016-09-19 18:20:00,2016-09-19 18:40:00)","1","69","9","19","18","20"
"2","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0","44","9","19","18","40"
"3","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0","44","9","19","18","40"
"3","[2016-09-19 18:40:00,2016-09-19 19:00:00)","1","70","9","19","18","40"
"1","[2016-09-19 18:40:00,2016-09-19 19:00:00)","0","16","9","19","18","40"
"1","[2016-09-19 18:40:00,2016-09-19 19:00:00)","1","59","9","19","18","40"
"2","[2016-09-19 19:00:00,2016-09-19 19:20:00)","0","41","9","19","19","0"
"3","[2016-09-19 19:00:00,2016-09-19 19:20:00)","0","39","9","19","19","0"
"3","[2016-09-19 19:00:00,2016-09-19 19:20:00)","1","37","9","19","19","0"
"1","[2016-09-19 19:00:00,2016-09-19 19:20:00)","0","12","9","19","19","0"
"1","[2016-09-19 19:00:00,2016-09-19 19:20:00)","1","50","9","19","19","0"
"1","[2016-09-19 19:20:00,2016-09-19 19:40:00)","0","19","9","19","19","20"
"1","[2016-09-19 19:20:00,2016-09-19 19:40:00)","1","38","9","19","19","20"
"3","[2016-09-19 19:20:00,2016-09-19 19:40:00)","0","42","9","19","19","20"
"3","[2016-09-19 19:20:00,2016-09-19 19:40:00)","1","41","9","19","19","20"
"2","[2016-09-19 19:20:00,2016-09-19 19:40:00)","0","41","9","19","19","20"
"1","[2016-09-19 19:40:00,2016-09-19 20:00:00)","0","24","9","19","19","40"
"1","[2016-09-19 19:40:00,2016-09-19 20:00:00)","1","37","9","19","19","40"
"3","[2016-09-19 19:40:00,2016-09-19 20:00:00)","0","42","9","19","19","40"
"3","[2016-09-19 19:40:00,2016-09-19 20:00:00)","1","43","9","19","19","40"
"2","[2016-09-19 19:40:00,2016-09-19 20:00:00)","0","29","9","19","19","40"
"3","[2016-09-19 20:00:00,2016-09-19 20:20:00)","0","46","9","19","20","0"
"3","[2016-09-19 20:00:00,2016-09-19 20:20:00)","1","30","9","19","20","0"
"1","[2016-09-19 20:00:00,2016-09-19 20:20:00)","0","17","9","19","20","0"
"1","[2016-09-19 20:00:00,2016-09-19 20:20:00)","1","37","9","19","20","0"
"2","[2016-09-19 20:00:00,2016-09-19 20:20:00)","0","43","9","19","20","0"
"1","[2016-09-19 20:20:00,2016-09-19 20:40:00)","0","15","9","19","20","20"
"1","[2016-09-19 20:20:00,2016-09-19 20:40:00)","1","31","9","19","20","20"
"2","[2016-09-19 20:20:00,2016-09-19 20:40:00)","0","16","9","19","20","20"
"3","[2016-09-19 20:20:00,2016-09-19 20:40:00)","0","20","9","19","20","20"
"3","[2016-09-19 20:20:00,2016-09-19 20:40:00)","1","39","9","19","20","20"
"1","[2016-09-19 20:40:00,2016-09-19 21:00:00)","0","17","9","19","20","40"
"1","[2016-09-19 20:40:00,2016-09-19 21:00:00)","1","36","9","19","20","40"
"2","[2016-09-19 20:40:00,2016-09-19 21:00:00)","0","27","9","19","20","40"
"3","[2016-09-19 20:40:00,2016-09-19 21:00:00)","0","29","9","19","20","40"
"3","[2016-09-19 20:40:00,2016-09-19 21:00:00)","1","37","9","19","20","40"
"3","[2016-09-19 21:00:00,2016-09-19 21:20:00)","0","19","9","19","21","0"
"3","[2016-09-19 21:00:00,2016-09-19 21:20:00)","1","27","9","19","21","0"
"2","[2016-09-19 21:00:00,2016-09-19 21:20:00)","0","21","9","19","21","0"
"1","[2016-09-19 21:00:00,2016-09-19 21:20:00)","0","14","9","19","21","0"
"1","[2016-09-19 21:00:00,2016-09-19 21:20:00)","1","21","9","19","21","0"
"1","[2016-09-19 21:20:00,2016-09-19 21:40:00)","0","18","9","19","21","20"
"1","[2016-09-19 21:20:00,2016-09-19 21:40:00)","1","30","9","19","21","20"
"3","[2016-09-19 21:20:00,2016-09-19 21:40:00)","0","23","9","19","21","20"
"3","[2016-09-19 21:20:00,2016-09-19 21:40:00)","1","32","9","19","21","20"
"2","[2016-09-19 21:20:00,2016-09-19 21:40:00)","0","15","9","19","21","20"
"1","[2016-09-19 21:40:00,2016-09-19 22:00:00)","0","4","9","19","21","40"
"1","[2016-09-19 21:40:00,2016-09-19 22:00:00)","1","25","9","19","21","40"
"3","[2016-09-19 21:40:00,2016-09-19 22:00:00)","0","17","9","19","21","40"
"3","[2016-09-19 21:40:00,2016-09-19 22:00:00)","1","31","9","19","21","40"
"2","[2016-09-19 21:40:00,2016-09-19 22:00:00)","0","20","9","19","21","40"
"2","[2016-09-19 22:00:00,2016-09-19 22:20:00)","0","16","9","19","22","0"
"3","[2016-09-19 22:00:00,2016-09-19 22:20:00)","0","16","9","19","22","0"
